name,track_number,album.release_date,id,album.name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,explicit,key_name,mode_name,key_mode
Am I Savage?,4,2016-11-18,5EA75qDylWv25sjzyM1BOa,Hardwired…To Self-Destruct,39,0.327,0.943,0,-3.898,1,0.0485,2.15e-5,8.82e-4,0.0738,0.242,144.016,390,FALSE,C,major,C major
St. Anger,2,2003-01-01,5JAnXx5BBES4FEf4d4t4CC,St. Anger,58,0.396,0.947,2,-2.652,0,0.0477,0.00115,0.0179,0.089,0.443,93.043,441,TRUE,D,minor,D minor
Fixxxer,13,1997-01-01,5jE2hljNVTJZeodUXQu9Ea,Reload,40,0.484,0.836,1,-4.658,1,0.0438,1.43e-4,5.07e-4,0.055,0.403,132.937,495,FALSE,C#,major,C# major
Phantom Lord - Remastered,7,1983-07-24,5R5b3EZkGsYsZz2XdUNrXI,Kill 'Em All ,44,0.21,0.975,1,-5.302,0,0.309,7.33e-4,0.0308,0.0873,0.129,159.384,301,FALSE,C#,minor,C# minor
The Four Horsemen - Remastered,2,1983-07-24,5RrnDgjoFxDINI5aFQPZXt,Kill 'Em All ,49,0.224,0.938,0,-6.907,1,0.408,0.00157,0.0765,0.106,0.327,203.79,433,FALSE,C,major,C major
Enter Sandman,1,1991-08-12,5sICkBXVmaCQk5aISGR3x1,Metallica,77,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331,FALSE,F#,minor,F# minor
Helpless,1,1998-01-01,5sv8enQQ6TRwgKjnUOuTWi,Garage Inc.,38,0.308,0.986,11,-5.232,0,0.0716,4.78e-6,0.0121,0.0979,0.612,150.299,397,FALSE,B,minor,B minor
Holier Than Thou,3,1991-08-12,5YMJoplBWvIa2LHUPoGqb5,Metallica,55,0.471,0.956,5,-6.25,1,0.0381,3.22e-4,0.528,0.066,0.315,172.15,228,FALSE,F,major,F major
All Within My Hands,11,2003-01-01,61MvWKeLK4tjdSuuB8y8B8,St. Anger,37,0.552,0.965,5,-4.515,0,0.0893,0.00398,0.00347,0.115,0.294,105.821,528,TRUE,F,minor,F minor
The End Of The Line,2,2008-01-01,62qcKV45EjiFwEk074P9Mk,Death Magnetic,45,0.337,0.974,11,-4.516,0,0.083,1.22e-4,9.6e-4,0.145,0.2,107.176,472,FALSE,B,minor,B minor
